Company;ISIN;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
PIERER Mobility AG;AT0000KTMI02;PKTM;41860974;AT;CHF;XSWX;Bearer Share;0.00;International Reporting Standard;IFRS;25.04.2025;31.12.;KPMG Wirtschaftsprüfungs- und Steuerberatungs GmbH - AT;No;;TRUE;Out
PLAZZA AG;CH0284142913;PLAN;28414291;CH;CHF;XSWX;Registered Share;0.50;Standard for Real Estate Companies;Swiss GAAP FER;02.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
PolyPeptide Group AG;CH1110760852;PPGN;111076085;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;09.04.2025;31.12.;BDO AG - CH[500705];No;;TRUE;Out
Private Equity Holding AG;CH0006089921;PEHN;608992;CH;CHF;XSWX;Registered Share;6.00;Standard for Investment Companies;IFRS;24.06.2025;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
PSP Swiss Property AG;CH0018294154;PSPN;1829415;CH;CHF;XSWX;Registered Share;0.10;Standard for Real Estate Companies;IFRS;03.04.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
R&S Group Holding AG;CH1107979838;RSGN;110797983;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;14.05.2025;31.12.;Deloitte AG - CH[500420];No;;TRUE;
RELIEF THERAPEUTICS Holding AG;CH1251125998;RLF;125112599;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;FORVIS MAZARS SA - CH[500241];No;;TRUE;Out
Rieter Holding AG;CH0003671440;RIEN;367144;CH;CHF;XSWX;Registered Share;5.00;International Reporting Standard;IFRS;24.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Roche Holding AG;CH0012032048;ROG;1203204;CH;CHF;XSWX;Dividend Right Certificate;0.00;International Reporting Standard;IFRS;25.03.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Roche Holding AG;CH0012032113;RO;1203211;CH;CHF;XSWX;Bearer Share;1.00;International Reporting Standard;IFRS;25.03.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Romande Energie Holding SA;CH1263676327;REHN;126367632;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;14.05.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Sandoz Group AG;CH1243598427;SDZ;124359842;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;IFRS;15.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Santhera Pharmaceuticals Holding AG;CH1276028821;SANN;127602882;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;20.05.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Schindler Holding AG;CH0024638196;SCHP;2463819;CH;CHF;XSWX;Participation Certificate;0.10;International Reporting Standard;IFRS;25.03.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Schindler Holding AG;CH0024638212;SCHN;2463821;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;25.03.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Schlatter Industries AG;CH0002277314;STRN;227731;CH;CHF;XSWX;Registered Share;1.00;Standard Sparks;Swiss GAAP FER;06.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Schweiter Technologies AG;CH1248667003;SWTQ;124866700;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;09.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Schweizerische Nationalbank;CH0001319265;SNBN;131926;CH;CHF;XSWX;Registered Share;250.00;Swiss Reporting Standard;Swiss GAAP FER;25.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Scor SE;FR0010411983;SCR;2844943;FR;CHF;XSWX;Registered Share;7.88;International Reporting Standard;;;;Mazars & Guérard - FR;No;;FALSE;
Sensirion Holding AG;CH0406705126;SENS;40670512;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;12.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;Up
SF Urban Properties AG;CH0032816131;SFPN;3281613;CH;CHF;XSWX;Registered Share;9.00;Standard for Real Estate Companies;IFRS;09.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
SFS Group AG;CH0239229302;SFSN;23922930;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;30.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;Out
SGS AG;CH1256740924;SGSN;125674092;CH;CHF;XSWX;Registered Share;0.04;International Reporting Standard;IFRS;26.03.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Shenzhen Senior Technology Material Co., Ltd.;US82322J1079;SENIOR;123430195;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;12.03.2025;31.12.;Grant Thornton Zhitong Certified Public Accountants LLP - CN;No;;TRUE;
SHL Telemedicine Ltd.;IL0010855885;SHLTN;1128957;IL;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;;31.12.;E & Y, Kost Forer Gabbay and Kasierer - IL;No;;TRUE;
Siegfried Holding AG;CH0014284498;SFZN;1428449;CH;CHF;XSWX;Registered Share;11.00;Swiss Reporting Standard;Swiss GAAP FER;10.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
SIG Group Ltd;CH0435377954;SIGN;43537795;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;08.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Sika AG;CH0418792922;SIKA;41879292;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;25.03.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
SKAN Group AG;CH0013396012;SKAN;1339601;CH;CHF;XSWX;Registered Share;0.01;Swiss Reporting Standard;Swiss GAAP FER;05.05.2025;31.12.;BDO AG - CH[500705];No;;TRUE;Up
SoftwareONE Holding AG;CH0496451508;SWON;49645150;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;15.04.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;Up
Sonova Holding AG;CH0012549785;SOON;1254978;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;IFRS;10.06.2025;31.03.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Spexis Ltd.;CH0106213793;SPEX;10621379;CH;CHF;XSWX;Registered Share;0.02;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];No;;TRUE;
St.Galler Kantonalbank AG;CH0011484067;SGKN;1148406;CH;CHF;XSWX;Registered Share;80.00;Swiss Reporting Standard;Bank law;30.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Stadler Rail AG;CH0002178181;SRAIL;217818;CH;CHF;XSWX;Registered Share;0.20;Swiss Reporting Standard;Swiss GAAP FER;07.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;Up
StarragTornos Group AG;CH0002361068;STGN;236106;CH;CHF;XSWX;Registered Share;8.50;Swiss Reporting Standard;Swiss GAAP FER;17.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Straumann Holding AG;CH1175448666;STMN;117544866;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;10.04.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Sulzer AG;CH0038388911;SUN;3838891;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;23.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Sunrise Communications AG;CH1386220409;SUNN;138622040;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;13.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Sunwoda Electronic Co., Ltd.;US86804J2042;SWD;122821440;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;ShineWing Certified Public Accountants LLP - CN;No;;TRUE;
SUPCON Technology Co., Ltd;US98956C1018;SUPCON;125233142;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;Pan-China Certified Public Accountants LLP - CN;Yes;Global Reporting Initiative (GRI);TRUE;
Swiss Life Holding AG;CH0014852781;SLHN;1485278;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;14.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Swiss Prime Site AG;CH0008038389;SPSN;803838;CH;CHF;XSWX;Registered Share;2.00;Standard for Real Estate Companies;IFRS;13.03.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Swiss Re AG;CH0126881561;SREN;12688156;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;US GAAP;11.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Swiss Steel Holding AG;CH1351577726;STLN;135157772;CH;CHF;XSWX;Registered Share;16.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Swisscom AG;CH0008742519;SCMN;874251;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;26.03.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Swissquote Group Holding Ltd;CH0010675863;SQN;1067586;CH;CHF;XSWX;Registered Share;0.20;International Reporting Standard;IFRS;08.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Tecan Group AG;CH0012100191;TECN;1210019;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;10.04.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
TEMENOS AG;CH0012453913;TEMN;1245391;CH;CHF;XSWX;Registered Share;5.00;International Reporting Standard;IFRS;13.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
The Swatch Group AG;CH0012255144;UHRN;1225514;CH;CHF;XSWX;Registered Share;0.45;Swiss Reporting Standard;Swiss GAAP FER;21.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;Up
The Swatch Group AG;CH0012255151;UHR;1225515;CH;CHF;XSWX;Bearer Share;2.25;Swiss Reporting Standard;Swiss GAAP FER;21.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;Up
Thurgauer Kantonalbank;CH0231351104;TKBP;23135110;CH;CHF;XSWX;Participation Certificate;20.00;Swiss Reporting Standard;Bank law;22.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
TX Group AG;CH0011178255;TXGN;1117825;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;11.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
u-blox Holding AG;CH0033361673;UBXN;3336167;CH;CHF;XSWX;Registered Share;10.50;International Reporting Standard;IFRS;16.04.2025;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
UBS Group AG;CH0244767585;UBSG;24476758;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;10.04.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
V-ZUG Holding AG;CH0542483745;VZUG;54248374;CH;CHF;XSWX;Registered Share;0.27;Swiss Reporting Standard;Swiss GAAP FER;08.04.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Valartis Group AG;CH0367427686;VLRT;36742768;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;06.05.2025;31.12.;BDO AG - CH[500705];No;;TRUE;Out
Valiant Holding AG;CH0014786500;VATN;1478650;CH;CHF;XSWX;Registered Share;0.50;Swiss Reporting Standard;Bank law;14.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Varia US Properties AG;CH0305285295;VARN;30528529;CH;CHF;XSWX;Registered Share;1.00;Standard for Real Estate Companies;IFRS;30.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
VAT Group AG;CH0311864901;VACN;31186490;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;29.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Vaudoise Assurances Holding SA;CH0021545667;VAHN;2154566;CH;CHF;XSWX;Registered Share;25.00;Swiss Reporting Standard;Swiss GAAP FER;12.05.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Vetropack Holding AG;CH0530235594;VETN;53023559;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;23.04.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Villars Holding S.A.;CH0002609656;VILN;260965;CH;CHF;XSWX;Registered Share;44.00;Swiss Reporting Standard;Swiss GAAP FER;14.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Vontobel Holding AG;CH0012335540;VONN;1233554;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;02.04.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
VP Bank AG;LI0315487269;VPBN;31548726;LI;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;25.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
VZ Holding AG;CH0528751586;VZN;52875158;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;IFRS;09.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Walliser Kantonalbank;CH0305951201;WKBN;30595120;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Bank law;17.04.2025;31.12.;Deloitte AG - CH[500420];Yes;Global Reporting Initiative (GRI);TRUE;
Warteck Invest AG;CH0002619481;WARN;261948;CH;CHF;XSWX;Registered Share;10.00;Standard for Real Estate Companies;Swiss GAAP FER;21.05.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Will Semiconductor Co., Ltd. Shanghai;US96908C1128;WILL;130378868;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;BDO China Shu Lun Pan Certified Public Accountants LLP - CN;Yes;Global Reporting Initiative (GRI);TRUE;
WISeKey International Holding AG;CH1276062754;WIHN;127606275;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;BDO AG - CH[500705];No;;TRUE;Out
Xlife Sciences AG;CH0461929603;XLS;46192960;CH;CHF;XSWX;Registered Share;1.00;Standard Sparks;IFRS;24.06.2025;31.12.;BDO AG - CH[500705];No;;TRUE;
Yangzhou Yangjie Electronic Technology Co., Ltd.;US98490B1061;YJET;124722475;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;Pan-China Certified Public Accountants LLP - CN;No;;TRUE;
Youngtimers AG;CH0006326851;YTME;632685;CH;CHF;XSWX;Bearer Share;0.42;Swiss Reporting Standard;Swiss GAAP FER;30.06.2025;31.12.;Berney Associés Audit SA - CH[501382];No;;TRUE;
Ypsomed Holding AG;CH0019396990;YPSN;1939699;CH;CHF;XSWX;Registered Share;14.15;Swiss Reporting Standard;Swiss GAAP FER;02.07.2025;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Up
Zehnder Group AG;CH0276534614;ZEHN;27653461;CH;CHF;XSWX;Registered Share;0.05;Swiss Reporting Standard;Swiss GAAP FER;03.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Zhejiang HangKe Technology Incorporated Company;US98955P2020;ZHT;123489684;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;Pan-China Certified Public Accountants LLP - CN;No;;TRUE;
Zhejiang Huayou Cobalt Co., Ltd.;US98955Q1013;HUAYO;124566121;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;Pan-China Certified Public Accountants LLP - CN;No;;TRUE;
Zimmer Biomet Holdings Inc.;US98956P1021;ZBH;1262932;US;CHF;XSWX;Registered Share;0.01;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;FALSE;
Züblin Immobilien Holding AG;CH0312309682;ZUBN;31230968;CH;CHF;XSWX;Registered Share;22.50;Standard for Real Estate Companies;IFRS;26.06.2025;31.03.;SWA Swiss Auditors AG - CH[504689];No;;TRUE;
Zug Estates Holding AG;CH0148052126;ZUGN;14805212;CH;CHF;XSWX;Registered Share;25.00;Standard for Real Estate Companies;Swiss GAAP FER;10.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Zuger Kantonalbank AG;CH0493891243;ZUGER;49389124;CH;CHF;XSWX;Registered Share;500.00;Swiss Reporting Standard;Bank law;10.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Zurich Insurance Group AG;CH0011075394;ZURN;1107539;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;09.04.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Zwahlen & Mayr SA;CH0002661731;ZWM;266173;CH;CHF;XSWX;Bearer Share;200.00;Swiss Reporting Standard;Swiss GAAP FER;29.04.2025;31.12.;FORVIS MAZARS SA - CH[500241];No;;TRUE;